State,2010,2011,2012,2013,2014,2015,2016,2017
ALABAMA,2,0,7,0,2,5,9,26
ALASKA,0,0,0,0,0,0,0,0
ARIZONA,58,20,10,2,24,35,19,18
ARKANSAS,1,0,2,0,2,2,3,3
CALIFORNIA,38,45,135,6,251,186,89,133
COLORADO,55,5,228,5,69,44,90,39
CONNECTICUT,1,1,3,0,3,2,0,1
DELAWARE,2,0,7,0,0,6,0,1
DISTRICT OF COLUMBIA,1,10,2,1,2,1,0,3
FLORIDA,3,3,1,0,4,0,1,0
GEORGIA,9,5,4,0,2,2,1,7
HAWAII,10,0,0,0,0,0,0,0
IDAHO,1,1,26,0,13,8,5,11
ILLINOIS,17,12,31,0,13,28,152,20
INDIANA,7,2,4,0,1,5,3,10
IOWA,4,4,20,3,10,10,23,2
KANSAS,14,0,52,0,33,21,19,15
KENTUCKY,1,1,2,0,1,0,0,2
LOUISIANA,6,4,20,4,54,7,20,11
MAINE,8,0,0,0,0,0,0,0
MARYLAND,6,9,5,0,1,15,3,2
MASSACHUSETTS,1,1,1,0,1,3,6,1
MICHIGAN,4,1,12,0,0,2,1,8
MINNESOTA,4,1,48,1,15,4,55,14
MISSISSIPPI,6,22,18,4,17,13,15,17
MISSOURI,41,4,5,0,1,11,2,1
MONTANA,0,0,28,0,2,1,3,8
NEBRASKA,27,15,168,4,99,51,60,48
NEVADA,2,4,3,0,0,3,3,29
NEW HAMPSHIRE,3,0,0,0,0,0,0,1
NEW JERSEY,15,5,2,0,2,3,0,2
NEW MEXICO,4,0,14,0,5,2,0,10
NEW YORK,0,0,0,0,9,15,14,35
NORTH CAROLINA,140,0,1,0,0,0,0,1
NORTH DAKOTA,7,3,63,0,10,13,54,42
OHIO,1,11,4,0,1,12,5,11
OKLAHOMA,12,0,26,0,9,40,13,13
OREGON,6,0,1,0,1,0,1,5
PENNSYLVANIA,9,1,5,0,1,13,5,6
RHODE ISLAND,9,0,2,0,0,0,0,1
SOUTH CAROLINA,40,0,4,0,0,0,2,3
SOUTH DAKOTA,16,2,92,11,45,29,116,46
TENNESSEE,2,2,7,0,4,1,3,12
TEXAS,12,7,65,1,118,70,112,48
UTAH,1,2,3,0,1,3,6,24
VERMONT,2,0,1,0,0,0,1,1
VIRGINIA,2,0,10,0,2,7,6,1
WASHINGTON,1,0,1,0,5,16,1,3
WEST VIRGINIA,0,0,4,0,0,0,1,0
WISCONSIN,2,1,4,1,3,4,4,8
WYOMING,4,2,25,0,5,5,3,3
