"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2012-08-26","2012-09-01","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2013-09-08","2013-09-14","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MICHIGAN","US-MI","NA","NA","2012-07-22","2012-07-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MICHIGAN","US-MI","NA","NA","2012-08-05","2012-08-11","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MICHIGAN","US-MI","NA","NA","2013-09-29","2013-10-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEVADA","US-NV","NA","NA","2006-08-13","2006-08-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEVADA","US-NV","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEVADA","US-NV","NA","NA","2017-07-23","2017-07-29","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEVADA","US-NV","NA","NA","2017-10-01","2017-10-07","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEW JERSEY","US-NJ","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","6"
